"R0000100","R0002300","R0365500","R0385200","R0530300","R0543950","R0587700","R0635500","R0682100"
766,1,20000,1,50000,1,50000,50000,1
767,1,1500,4,15000,1,0,-5,-5
768,1,3000,1,15000,2,-1,-1,1
769,1,-5,-5,-5,-5,-5,-5,-5
770,1,1100,4,18500,1,27000,-1,1
771,1,-5,-5,-5,-5,-5,-5,-5
772,1,-5,-5,18000,1,25000,29700,1
773,1,-5,-5,12000,1,15000,17000,1
774,1,2000,3,8700,1,12000,-5,1
775,1,800,1,8500,1,10200,15000,1
776,1,8750,1,18000,1,22000,27200,1
777,1,100,3,7500,1,11700,14000,1
778,1,8290,1,19000,1,20000,24900,1
779,1,-5,-5,12000,2,15000,20000,1
780,1,-5,-5,-5,-5,-5,-5,-5
781,1,700,1,11000,1,13000,17500,1
782,1,-5,-5,-5,-5,-5,-5,-5
783,1,10000,1,-1,1,-5,-5,-5
784,1,8100,1,18000,1,23400,28000,1
785,1,3300,1,18000,1,23000,5400,1
786,1,500,1,3000,1,13000,15000,1
787,1,4900,1,13000,1,14500,0,1
788,1,7540,1,-5,-5,-5,-5,-5
789,1,35000,1,-5,-5,-5,-5,-5
790,1,7800,1,18000,1,14300,-5,-5
791,1,-5,-5,12300,1,21000,22000,1
792,1,1100,1,15000,1,14000,-5,-5
793,1,1200,1,-5,-5,-5,-5,-5
794,2,-5,-5,0,4,-5,-5,-5
795,2,6000,1,-5,-5,-5,-5,-5
796,2,7500,1,-5,-5,-5,-5,-5
797,2,1500,1,-5,-5,-5,-5,-5
798,2,4500,1,13550,2,18000,17000,1
799,2,0,4,5500,1,-4,5000,3
800,1,12500,1,18000,2,-5,-5,-5
801,1,9600,1,14500,1,21000,28000,1
802,1,2200,4,15000,1,16000,17000,1
803,1,2500,1,3000,1,7000,11000,6
804,2,6000,1,14000,1,10000,19000,1
805,1,450,1,14000,1,12000,17000,1
806,1,-5,-5,-5,-5,-5,10000,4
807,1,-5,-5,14500,2,-5,19500,1
808,1,-5,-5,-5,-5,1560,3150,4
