"R0000100","R0002300","R0385200","R0543950","R0682100"
1114,1,1,1,1
1115,1,1,1,1
1116,1,1,1,1
1117,1,-5,-5,-5
1118,1,-5,-5,-5
1119,1,1,1,1
1120,1,1,1,1
1121,1,1,1,1
1122,1,1,1,1
1123,1,1,3,-5
1124,1,1,1,-5
1125,1,1,1,1
1126,1,-5,3,3
1127,1,1,1,1
1128,1,-5,-5,-5
1129,1,1,1,1
1130,1,1,1,1
1131,1,1,1,6
1132,2,1,1,1
1133,2,1,1,1
1134,2,3,1,1
1135,2,-5,1,1
1136,2,1,-5,3
1137,1,1,-5,-5
1138,1,-5,-5,-5
1139,1,-5,1,1
1140,1,4,1,1
1141,1,1,1,1
1142,1,1,2,1
1143,1,3,4,1
1144,1,1,1,4
1145,1,4,1,1
1146,1,1,1,1
1147,1,1,1,1
1148,1,1,1,1
1149,1,1,1,1
1150,2,1,1,1
1151,2,8,-5,-5
1152,1,1,1,1
1153,1,4,4,1
1154,1,1,1,1
1155,1,2,1,1
1156,1,1,8,1
1157,1,-5,-5,1
1158,1,1,1,1
1159,1,2,1,2
1160,1,1,1,1
1161,1,3,2,1
1162,1,1,1,1
1163,1,1,1,1
1164,2,-5,-5,-5
1165,2,1,-5,1
1166,2,-5,-5,-5
1167,2,-5,-5,-5
1168,1,1,1,1
1169,2,1,1,1
1170,2,-5,-5,-5
1171,2,-5,-5,1
1172,1,1,1,1
1173,1,1,1,1
1174,1,-5,-5,-5
1175,1,3,1,1
1176,1,4,1,1
1177,1,-5,1,1
1178,1,1,-5,-5
1179,2,3,1,1
1180,2,1,1,2
1181,2,1,3,1
1182,2,-5,-5,-5
1183,2,1,2,1
1184,1,1,1,1
1185,1,1,1,1
1186,1,1,1,1
1187,1,1,1,1
1188,1,1,1,1
1189,1,1,1,2
1190,1,8,-5,-5
1191,2,1,3,-5
1192,2,1,2,1
1193,2,3,-5,-5
1194,2,-5,-5,-5
1195,2,3,-5,-5
1196,1,-5,-5,-5
1197,2,-5,-5,-5
1198,2,-5,-5,-5
1199,2,-5,-5,-5
1200,2,1,-5,-5
1201,2,1,1,3
1202,2,1,1,1
1203,2,-5,3,1
1204,2,8,-5,-5
1205,1,1,1,1
1206,1,8,1,-5
1207,1,1,1,1
1208,1,1,-5,-5
1209,2,1,1,1
1210,2,2,1,1
1211,2,8,-5,-5
1212,2,1,-5,4
1213,2,1,1,-5
1214,2,-5,-5,-5
1215,2,3,1,-5
1216,2,1,1,1
1217,2,1,-5,-5
1218,1,1,-5,-5
1219,1,1,-5,-5
1220,1,-5,-5,-5
1221,2,-5,3,-5
1222,2,-5,-5,-5
1223,2,-5,-5,-5
1224,2,1,1,1
1225,2,-5,-5,-5
1226,2,-5,-5,-5
1227,1,-5,1,1
1228,1,1,1,1
1229,1,-5,-5,-5
1230,1,4,1,-5
1231,1,1,1,1
1232,1,1,-5,-5
1233,2,-5,1,1
1234,2,1,3,-5
1235,2,2,3,6
1236,2,1,3,1
1237,2,3,1,-5
1238,2,3,1,-5
1239,2,-5,-5,-5
1240,2,1,-5,-5
1241,1,-5,-5,-5
1242,1,-5,-5,-5
1243,1,1,1,1
1244,1,1,1,-5
1245,1,1,1,1
1246,1,1,1,-5
1247,1,1,1,1
1248,1,1,1,1
1249,1,3,3,2
1250,1,1,1,1
1251,1,1,1,1
1252,1,1,1,1
1253,1,1,1,1
1254,1,1,-5,-5
1255,1,1,2,-5
1256,1,1,1,1
1257,2,1,-5,-5
